
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F2:9F:C2:DA:1C:BA, 2017-11-15 16:45:34, 2017-11-15 16:45:36,  9,  54, WPA2, CCMP,PSK, -66,        5,        0,   0.  0.  0.  0,  16, Paleis-Soestdijk, 
A4:CA:A0:4B:19:67, 2017-11-15 16:45:34, 2017-11-15 16:45:36,  2,  54, WPA2, CCMP,PSK, -71,        4,        1,   0.  0.  0.  0,  17, HUAWEI-E5186-1967, 
54:67:51:FE:FB:1E, 2017-11-15 16:45:34, 2017-11-15 16:45:34,  1,  54, WPA2, CCMP,PSK, -67,        2,        0,   0.  0.  0.  0,  12, Ziggo4E46875, 
CC:5D:4E:1C:FD:84, 2017-11-15 16:45:34, 2017-11-15 16:45:34,  1,  54, WPA2, CCMP,PSK, -86,        1,        0,   0.  0.  0.  0,  17, Zy_private_E7HJH7, 
90:5C:44:29:59:0A, 2017-11-15 16:45:34, 2017-11-15 16:45:34,  1,  54, WPA2, CCMP,PSK, -83,        2,        0,   0.  0.  0.  0,  12, ZiggoFE26CE3, 
D0:B2:C4:79:47:B4, 2017-11-15 16:45:34, 2017-11-15 16:45:35,  1,  54, WPA2, CCMP,PSK, -73,        4,        0,   0.  0.  0.  0,  10, Ziggo32226, 
D2:B2:C4:79:47:B5, 2017-11-15 16:45:34, 2017-11-15 16:45:35,  1,  54, WPA2, CCMP, MGT, -74,        5,        0,   0.  0.  0.  0,   5, Ziggo, 
9C:2A:70:2F:DD:DB, 2017-11-15 16:45:34, 2017-11-15 16:45:34,  1,  54, WPA2, CCMP TKIP,PSK, -85,        1,        0,   0.  0.  0.  0,  10, Ziggo8062C, 
DC:EF:09:F3:26:CD, 2017-11-15 16:45:34, 2017-11-15 16:45:34,  1,  54, WPA2, CCMP,PSK, -81,        2,        0,   0.  0.  0.  0,   9, Mecheline, 
90:5C:44:46:09:1C, 2017-11-15 16:45:34, 2017-11-15 16:45:34,  1,  54, WPA2, CCMP TKIP,PSK, -86,        2,        0,   0.  0.  0.  0,  12, Ziggo68125F5, 
44:D9:E7:F3:82:20, 2017-11-15 16:45:34, 2017-11-15 16:45:36,  1,  54, WPA2, CCMP TKIP,PSK, -77,        3,        0,   0.  0.  0.  0,   7, Lokaal1, 
4C:09:D4:CC:B1:7F, 2017-11-15 16:45:34, 2017-11-15 16:45:36,  2,  54, WPA2, CCMP,PSK, -77,        6,        0,   0.  0.  0.  0,  13, VGV7519CCB17F, 
B0:C2:87:78:99:5A, 2017-11-15 16:45:34, 2017-11-15 16:45:34,  1,  54, WPA2, CCMP,PSK, -86,        1,        0,   0.  0.  0.  0,  12, Sabrina 2\,5G, 
90:5C:44:CB:49:E8, 2017-11-15 16:45:34, 2017-11-15 16:45:34,  1,  54, WPA2, CCMP,PSK, -85,        1,        0,   0.  0.  0.  0,  12, Ziggo3F73A55, 
70:9F:2D:9B:83:E1, 2017-11-15 16:45:34, 2017-11-15 16:45:36,  3,  54, WPA2, CCMP,PSK, -69,        7,        0,   0.  0.  0.  0,  11, H369A9B83E1, 
E0:88:5D:8B:A0:8E, 2017-11-15 16:45:34, 2017-11-15 16:45:34,  1,  54, WPA2, CCMP,PSK, -86,        1,        0,   0.  0.  0.  0,  10, Ziggo57502, 
5E:CF:7F:12:4D:D3, 2017-11-15 16:45:34, 2017-11-15 16:45:37,  6,  54, OPN, ,   , -78,        6,        0,   0.  0.  0.  0,  14, iKettle 2.0:d3, 
F0:9F:C2:DA:22:BC, 2017-11-15 16:45:34, 2017-11-15 16:45:34,  6,  54, WPA2, CCMP,PSK, -58,        1,        0,   0.  0.  0.  0,  16, Paleis-Soestdijk, 
F2:9F:C2:DA:22:BC, 2017-11-15 16:45:34, 2017-11-15 16:45:36,  6,  54, WPA2, CCMP,PSK, -65,        4,        0,   0.  0.  0.  0,   9, Koetshuis, 
F6:9F:C2:DA:22:BC, 2017-11-15 16:45:34, 2017-11-15 16:45:35,  6,  54, WPA2, CCMP,PSK, -59,        2,        0,   0.  0.  0.  0,   0, , 
90:5C:44:F3:FE:D9, 2017-11-15 16:45:35, 2017-11-15 16:45:37,  6,  54, WPA2, CCMP TKIP,PSK, -67,        6,        0,   0.  0.  0.  0,  12, Ziggo5A3151E, 
1C:3A:DE:C2:F0:FB, 2017-11-15 16:45:35, 2017-11-15 16:45:35, 13,  54, WPA2, CCMP TKIP,PSK, -62,        3,        0,   0.  0.  0.  0,   0, , 
